Participant,TrialNumber,Condition,Success,NumberOfTouches,NumberLateralChangesOfDirection,Duration,TimingBetweenLastTouchAndPass,AverageInterpersonalDistance,AverageInterpersonalDistanceAtPassTime
13,11,NoInteraction,True,3,0,1.6,0.8,3.79,2.69
13,12,NoInteraction,True,3,1,1.7,0.8,3.4,2.19
13,13,NoInteraction,True,3,2,2.2,0.9,4.6,2.68
13,4,NoInteraction,True,4,2,2.6,0.6,3.82,2.36
13,5,NoInteraction,True,3,2,2.0,0.9,4.28,2.81
13,6,NoInteraction,True,3,2,2.3,0.9,4.3,2.69
13,7,NoInteraction,True,3,1,2.4,1.4,4.08,2.12
13,8,NoInteraction,True,3,1,2.2,0.8,3.78,2.35
13,9,NoInteraction,True,3,0,1.6,0.7,4.67,3.09
13,10,NoOpponent,True,5,1,3.0,0.8,0,0
13,11,NoOpponent,True,3,0,2.3,1.6,0,0
13,12,NoOpponent,True,2,0,1.5,1.5,0,0
13,13,NoOpponent,True,3,0,1.7,0.8,0,0
13,14,NoOpponent,True,2,0,1.6,1.6,0,0
13,4,NoOpponent,True,4,0,2.4,1.2,0,0
13,6,NoOpponent,True,3,0,2.0,1.2,0,0
13,7,NoOpponent,True,5,2,3.2,1.1,0,0
13,8,NoOpponent,True,4,2,2.7,1.1,0,0
13,9,NoOpponent,True,3,0,2.5,1.3,0,0
14,12,InSitu,False,3,0,1.6,1.1,4.77,2.57
14,13,InSitu,True,2,1,1.5,1.5,4.18,1.79
14,14,InSitu,False,2,1,1.8,1.8,3.61,1.27
14,15,InSitu,False,4,0,2.1,0.5,4.39,1.25
14,17,InSitu,True,3,0,1.7,1.0,4.75,1.96
14,18,InSitu,False,2,0,1.6,1.6,3.68,1.38
14,19,InSitu,False,2,0,0.9,0.9,6.17,4.99
14,20,InSitu,False,3,0,1.8,1.2,4.19,1.7
14,21,InSitu,True,3,1,2.0,0.2,3.93,1.12
14,22,InSitu,True,3,1,1.7,1.0,4.63,1.98
14,10,Interaction,False,2,2,1.9,1.9,4.74,2.35
14,11,Interaction,True,3,2,2.5,0.7,4.2,2.29
14,13,Interaction,True,4,2,2.5,0.7,4.34,2.89
14,14,Interaction,True,4,2,2.7,1.0,4.17,2.99
14,16,Interaction,True,3,1,2.0,0.7,5.1,2.69
14,17,Interaction,False,2,0,2.2,2.2,4.83,2.35
14,19,Interaction,False,4,1,2.7,0.7,4.86,2.48
14,20,Interaction,False,3,1,2.1,0.7,4.63,2.55
14,7,Interaction,False,2,2,2.2,2.2,4.81,2.56
14,8,Interaction,True,2,2,2.0,2.0,4.99,2.15
14,11,NoInteraction,True,3,0,1.5,0.8,4.95,3.51
14,12,NoInteraction,True,4,1,2.5,0.7,4.68,3.18
14,16,NoInteraction,True,3,0,2.0,1.2,4.8,3.29
14,3,NoInteraction,True,3,0,2.9,1.4,4.7,3.15
14,4,NoInteraction,True,3,1,2.1,0.9,4.77,3.15
14,5,NoInteraction,True,3,0,2.1,1.2,5.16,3.17
14,7,NoInteraction,True,3,0,2.1,1.4,4.19,3.13
14,8,NoInteraction,True,3,0,2.0,1.1,5.0,3.32
14,9,NoInteraction,True,4,2,3.5,1.3,4.56,3.29
14,10,NoOpponent,True,4,2,2.8,1.0,0,0
14,1,NoOpponent,True,2,1,1.6,1.6,0,0
14,2,NoOpponent,True,2,0,1.3,1.3,0,0
14,3,NoOpponent,True,2,1,1.0,1.0,0,0
14,4,NoOpponent,True,2,0,1.1,1.1,0,0
14,5,NoOpponent,True,3,2,1.7,1.1,0,0
14,6,NoOpponent,True,2,0,1.2,1.2,0,0
14,7,NoOpponent,True,2,0,1.2,1.2,0,0
14,8,NoOpponent,True,2,0,1.3,1.3,0,0
14,9,NoOpponent,True,2,1,1.3,1.3,0,0
15,10,InSitu,True,2,2,1.7,1.7,4.51,3.69
15,1,InSitu,False,2,1,1.1,1.1,4.1,1.61
15,2,InSitu,True,2,1,1.2,1.2,4.14,2.15
15,3,InSitu,True,4,1,1.4,0.4,4.48,2.77
15,4,InSitu,True,2,0,1.8,1.8,4.35,2.71
15,5,InSitu,True,2,0,1.5,1.5,4.26,2.35
15,6,InSitu,False,2,1,1.0,1.0,4.71,2.46
15,7,InSitu,True,4,2,2.1,0.6,3.54,1.76
15,8,InSitu,True,3,2,2.4,0.5,3.58,1.94
15,9,InSitu,False,2,1,1.9,1.9,3.87,2.47
16,10,InSitu,False,3,5,3.3,0.6,3.55,1.27
16,1,InSitu,False,3,1,2.0,1.3,4.45,2.86
16,2,InSitu,False,5,0,3.0,1.3,4.63,2.01
16,3,InSitu,False,7,1,3.2,0.3,2.58,1.25
16,4,InSitu,True,4,2,2.9,1.8,4.6,2.42
16,5,InSitu,False,11,8,6.3,0.6,3.95,1.55
16,6,InSitu,False,4,3,2.4,0.8,7.06,6.43
16,7,InSitu,False,3,0,1.8,1.1,3.92,1.81
16,8,InSitu,True,2,0,0.9,0.9,5.48,5.1
16,9,InSitu,False,2,1,0.9,0.9,5.11,3.85
16,10,Interaction,True,3,1,1.2,0.8,4.62,2.63
16,11,Interaction,False,4,1,1.5,0.5,4.12,2.39
16,12,Interaction,True,3,0,1.3,0.9,4.28,2.43
16,14,Interaction,False,2,0,0.9,0.9,4.86,2.85
16,3,Interaction,True,3,1,1.5,0.9,4.4,2.5
16,5,Interaction,False,2,0,1.0,1.0,5.05,2.89
16,6,Interaction,True,3,1,1.3,0.7,4.15,2.49
16,7,Interaction,False,3,1,1.5,0.9,4.51,2.26
16,8,Interaction,True,3,1,1.2,0.8,4.3,2.4
16,9,Interaction,False,2,0,0.8,0.8,5.22,3.44
16,10,NoInteraction,True,2,0,1.3,1.3,5.0,2.8
16,11,NoInteraction,True,2,0,1.0,1.0,4.89,2.78
16,12,NoInteraction,True,4,2,2.5,1.1,4.45,2.71
16,13,NoInteraction,True,2,0,1.0,1.0,5.26,3.43
16,4,NoInteraction,True,2,0,1.2,1.2,4.77,2.96
16,5,NoInteraction,True,2,0,1.0,1.0,4.6,3.09
16,6,NoInteraction,True,4,1,3.2,0.7,3.67,3.05
16,7,NoInteraction,True,2,0,0.8,0.8,4.96,3.27
16,8,NoInteraction,True,2,0,1.1,1.1,5.06,3.1
16,9,NoInteraction,True,2,0,0.8,0.8,4.58,2.86
16,10,NoOpponent,True,3,0,1.3,0.9,0,0
16,11,NoOpponent,True,2,0,0.9,0.9,0,0
16,12,NoOpponent,True,2,0,1.0,1.0,0,0
16,3,NoOpponent,True,3,0,1.6,0.8,0,0
16,4,NoOpponent,True,2,0,1.1,1.1,0,0
16,5,NoOpponent,True,3,0,1.7,0.7,0,0
16,6,NoOpponent,True,2,0,0.9,0.9,0,0
16,7,NoOpponent,True,2,0,1.0,1.0,0,0
16,8,NoOpponent,True,3,1,1.5,0.8,0,0
16,9,NoOpponent,True,2,0,1.1,1.1,0,0
17,10,Interaction,False,3,1,1.5,0.8,3.86,2.58
17,11,Interaction,True,5,1,2.6,0.7,3.84,3.37
17,12,Interaction,False,5,1,2.5,0.6,3.76,3.12
17,13,Interaction,False,8,2,4.5,0.7,3.83,3.11
17,15,Interaction,False,7,2,3.4,0.8,4.07,3.1
17,17,Interaction,True,5,2,2.9,1.1,4.55,3.57
17,18,Interaction,True,5,2,3.1,0.7,4.04,2.82
17,19,Interaction,True,6,2,3.5,0.6,4.01,3.23
17,7,Interaction,True,4,1,2.2,0.7,4.15,2.64
17,9,Interaction,False,3,1,1.8,0.8,3.49,2.6
17,10,InSitu,True,12,5,11.1,0.6,1.24,1.16
17,11,InSitu,True,5,0,3.2,0.5,2.16,0.73
17,14,InSitu,False,5,3,4.3,0.5,1.64,0.29
17,15,InSitu,True,14,5,15.8,0.4,1.29,1.23
17,4,InSitu,True,4,0,2.0,0.9,2.98,1.19
17,5,InSitu,True,3,0,1.8,1.1,3.0,0.97
17,6,InSitu,False,6,0,2.7,0.3,2.24,1.06
17,7,InSitu,False,3,0,2.3,1.4,2.8,1.19
17,8,InSitu,True,6,0,2.4,0.3,2.45,1.13
17,9,InSitu,True,19,10,14.8,0.1,1.19,0.8
17,10,NoInteraction,True,3,1,2.6,1.4,4.5,4.17
17,11,NoInteraction,True,3,1,2.4,1.9,3.72,2.55
17,12,NoInteraction,True,3,1,2.2,0.5,4.82,3.84
17,3,NoInteraction,True,4,0,2.1,0.9,4.74,3.56
17,4,NoInteraction,True,4,2,2.9,1.3,4.18,3.12
17,5,NoInteraction,True,3,1,1.7,1.0,4.4,3.72
17,6,NoInteraction,True,3,1,2.5,1.2,4.56,3.78
17,7,NoInteraction,True,3,1,2.8,1.2,4.64,3.37
17,8,NoInteraction,True,3,1,3.3,2.0,4.04,3.35
17,9,NoInteraction,True,3,1,1.6,0.8,4.41,3.72
17,10,NoOpponent,True,2,1,1.2,1.2,0,0
17,11,NoOpponent,True,2,1,2.3,2.3,0,0
17,12,NoOpponent,True,2,1,1.7,1.7,0,0
17,13,NoOpponent,True,2,1,2.0,2.0,0,0
17,14,NoOpponent,True,2,2,2.2,2.2,0,0
17,5,NoOpponent,True,3,2,2.2,1.6,0,0
