Participant,TrialNumber,Condition,Success,NumberOfTouches,NumberLateralChangesOfDirection,Duration,TimingBetweenLastTouchAndPass,AverageInterpersonalDistance,AverageInterpersonalDistanceAtPassTime
7,13,InSitu,False,3,3,2.4,0.4,4.71,2.6
7,14,InSitu,False,5,4,3.7,0.4,3.63,2.16
7,15,InSitu,False,5,2,2.2,0.5,4.16,2.51
7,16,InSitu,False,4,3,2.5,0.4,3.93,2.24
7,17,InSitu,False,4,1,1.7,0.5,5.04,3.06
7,18,InSitu,False,4,2,2.6,0.9,4.28,2.37
7,20,InSitu,False,3,1,1.5,1.0,5.0,3.38
8,10,InSitu,False,3,0,1.5,0.3,3.58,0.81
8,1,InSitu,False,3,0,1.8,1.2,3.59,1.73
8,2,InSitu,True,2,0,2.3,2.3,3.97,2.41
8,3,InSitu,False,7,2,2.8,0.4,3.0,1.76
8,4,InSitu,True,3,1,1.6,0.4,3.57,2.28
8,5,InSitu,False,3,1,1.7,1.1,3.48,1.63
8,6,InSitu,True,5,3,2.6,0.4,3.52,1.88
8,7,InSitu,True,7,2,3.8,0.5,2.53,1.74
8,8,InSitu,True,3,1,1.7,0.8,4.0,2.8
8,9,InSitu,False,3,0,1.2,0.5,4.12,2.22
9,10,InSitu,False,18,11,14.4,0.4,2.48,1.57
9,1,InSitu,False,4,2,2.1,0.3,3.65,1.22
9,2,InSitu,False,5,1,2.5,0.5,3.65,1.39
9,3,InSitu,False,9,5,6.9,0.4,2.42,1.86
9,4,InSitu,False,3,1,2.0,1.0,4.93,2.19
9,6,InSitu,False,9,5,8.8,0.4,2.61,1.05
9,7,InSitu,False,15,12,12.0,0.5,2.32,1.36
9,8,InSitu,False,11,4,8.1,0.4,3.4,1.66
9,9,InSitu,False,4,1,1.6,0.5,5.1,2.34
